user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
greencandlesplz,2022-01-30 23:59:00+00:00,en,2,0,0,0,time to make a music collection!! Or drop them  #NFTs https://t.co/SFDQHJbeGF,
WhaleSongMusic,2022-01-30 23:53:25+00:00,en,1,0,0,0,@morty_nft Icons Face The Music collection featuring all original music: #Madonna https://t.co/npsgmYohLW https://t.co/GDQNOkE11x,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/64577751703187078716241894704004296949442063105455338245638209282407346995201
_xion_bot,2022-01-30 23:48:42+00:00,ja,0,0,0,0,"【Works info：23】

AYA + Momiji UPTEMPO JAZZ Music!
Mapleaves -メープリーヴス-

【iTunes】https://t.co/bApHHrqdsH
【Google Play Music】https://t.co/fXdIvB45l9

#touhou","https://itunes.apple.com/jp/album/mapleaves/1455478044, https://play.google.com/store/music/collection/cluster?clp=sgMjCiEKG0EzMzNhbGJ2cWdjNjRwdnZyaWx2aTM0cnBjbRADGAI%3D:S:ANO1ljKVUoM&gsr=CiayAyMKIQobQTMzM2FsYnZxZ2M2NHB2dnJpbHZpMzRycGNtEAMYAg%3D%3D:S:ANO1ljID8Cs"
HoneyHoneytan12,2022-01-30 23:23:17+00:00,ja,1,0,0,1,"#ABCZ 2/1発売「BEST OF A.B.C-Z 」-Music Collection- このアルバム凄いわ笑、好きな曲ばっかり笑
#橋本良亮

楽天ブックスのご予約はこちらから→
https://t.co/FicgqBWJlo…

A.B.C-Z /【BEST OF A.B.C-Z】Disc2 クロスフェード https://t.co/14bTo354wf 
@YouTube
より","https://books.rakuten.co.jp/search?b=1&g=000&sitem=a.b.c-z, https://youtu.be/Y9Ctr5yZXoo"
WhaleSongMusic,2022-01-30 23:21:16+00:00,en,0,0,0,0,@GasaNFT Icons Face The Music collection featuring all original music #JohnLennon https://t.co/neVXUV5ZMM https://t.co/kZZB9LL2t3,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/64577751703187078716241894704004296949442063105455338245638209281307835367425/
HoneyHoneytan12,2022-01-30 23:17:59+00:00,ja,1,0,0,0,"#ABCZ 2/1発売「BEST OF A.B.C-Z 」-Music Collection- 予約受付中￼
#橋本良亮

楽天ブックスのご予約はこちらから→
https://t.co/FicgqBWJlo…

A.B.C-Z /【BEST OF A.B.C-Z】Disc3 クロスフェード https://t.co/bnpDgkUoQt 
@YouTube
より","https://books.rakuten.co.jp/search?b=1&g=000&sitem=a.b.c-z, https://youtu.be/AsyrY0-49Ts"
willuigi64,2022-01-30 23:11:48+00:00,en,0,0,0,0,swsh and legends super music collection please:),
HoneyHoneytan12,2022-01-30 23:10:28+00:00,ja,1,0,0,0,"おはよう『BEST OF A.B.C-Z』[3CD+2DVD+キャンペーンカード+フォトブック]＜初回限定盤A -Music Collection-＞/[3CD+DVD+キャンペーンカード]＜初回限定盤B -Variety Collection-＞/[3CD+キャンペーンカード+メンバーソロチェンジングジャケット5セット]＜通常盤Z/初回限定仕様＞や
#橋本良亮
#ABCZ https://t.co/fN02pT4pAA",
RhysParton,2022-01-30 23:06:24+00:00,en,0,0,1,0,"@Dave__Jeffress @joerogan Not really.

I'm contemplating not subbing to anything and building my own music collection. Purchasing disks and digitalising it into my own library.

Sounds primitive (so to speak), but Apple Music has its problems too.",
jkpatrick42,2022-01-30 23:05:09+00:00,en,0,0,1,0,@muchwilder That's it really isn't it - bulding and managing a music collection can be time consuming and frustrating but also intensely rewarding,
governmentgpj,2022-01-30 22:46:03+00:00,ja,0,0,0,0,"カテゴリ「CD」
／
ランキング:53位
＼

【予約】BEST OF A.B.C-Z -Music Collection- (初... (07:46)

https://t.co/igL2Le5fqx",https://hb.afl.rakuten.co.jp/ichiba/16cf63c7.445aaa56.16cf63c8.6993d6bf/_RTLink6722?pc=https://books.rakuten.co.jp/rb/16967898/&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjI0MHgyNDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MSwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjB9
MobCat_,2022-01-30 22:44:10+00:00,en,1,0,0,0,"@Harmful_Logic Go though there music collection, and probs just listen to them talk about music.",
rankrakuten123,2022-01-30 22:31:59+00:00,ja,0,0,0,0,"&lt;楽天リアルタイムランキング&gt;
※CD・DVD

順位：21

商品：【先着特典】BEST OF A.B.C-Z -Music Collection- (初回限定盤A 3CD＋2Blu-ray)(歴代

価格：5610円

01/31 07:31:59
https://t.co/5dLyeVVYXM",https://hb.afl.rakuten.co.jp/hgc/g00q0728.7eqgudd3.g00q0728.7eqgve4e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbook%2F16967902%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbook%2Fi%2F20529286%2F
abatagestudios,2022-01-30 22:30:12+00:00,en,0,0,0,0,"An Evening With Silk Sonic (2021 / 0:32) by Silk Sonic

I'm putting my music collection on shuffle and drawing whatever album plays next. The only rule is to finish the drawing before the album ends! These are my BADLY DRAWN ALBUM COVERS!

#badlydrawnalbumcovers #silksonic https://t.co/1ijmlSFKyM",
KILLASUN7,2022-01-30 22:22:15+00:00,en,3,0,0,0,lol my dad gifting zakai his whole music collection “pa que sea salsero”,
KevinSeyler,2022-01-30 22:10:07+00:00,en,1,0,0,0,@steph_music_nft Looking forward to seeing your music collection when it drops in February!!,
pckun11,2022-01-30 22:01:56+00:00,ja,0,0,0,0,朝、目覚めに心地よい～活力が出るクラシック名曲集・Morning Classical Music Collection（長時間作業用BGM)5時間25分　https://t.co/G3N5eI65Oh,http://bgm18.sblo.jp/article/185336366.html
GoodMusicBx,2022-01-30 21:54:58+00:00,en,0,0,1,0,@yitzgood @ScrotieMcB LOL I wasn't even implying that question.  I was truly listing the extent of Coltrane in my music collection LOL.,
excusemyfacade,2022-01-30 21:44:31+00:00,en,0,0,1,0,"My dad has like a 20 year old pair of tiger onotsukas 

I want that in my share of the will 

&amp; his music collection 

&amp; that sweeeeet red leather trench coat",
t_var_s,2022-01-30 21:38:54+00:00,en,0,0,1,0,"A clear case of how corporate ecosystems grow too big for their own good https://t.co/iIZKTWDprM  ""So your music collection doesn't have one of the greatest American songwriters because, you won't believe this, we have these podcasts things, you know, and there's this guy, see..""",https://newsroom.spotify.com/2022-01-30/spotifys-platform-rules-and-approach-to-covid-19/
CherylTheLibr_n,2022-01-30 21:30:45+00:00,en,0,0,1,0,"Day 30
Gangstagrass (f. T.O.N.E-z)
Lightning on the Strings, Thunder on the Mic

#ListenWithMe: https://t.co/2qBLw0H8qv

Listening my way thru my own music collection.  
Albums owned on CD/vinyl/cassette only.

#MyLibraryMyListens #1yr365albums_2022_30 #1yr365albums #music",https://www.allmusic.com/album/lightning-on-the-strings-thunder-on-the-mic-mw0002052249
Jess_18Amber,2022-01-30 21:27:23+00:00,en,0,0,0,0,"Music Collection 
#NicoleScherzinger #ChakaKhan #LilKim #MichaelJackson #Whitneyhouston #AmyWinehouse https://t.co/57LvAPle7X",
taka3_na1_imas5,2022-01-30 21:25:16+00:00,ja,0,0,0,0,INSTRUMENTAL MUSIC COLLECTION 01再販してください,
giblint,2022-01-30 21:20:52+00:00,en,1,0,0,0,"@DYSONlife4real Unfortunately I have been separated from a very large proportion of my collection!
I think I need Mystic Meg’s intervention to get my music collection back on track!!
(No pun intended [Honest!!])",
stealmysugar,2022-01-30 21:06:02+00:00,en,1,0,1,0,"@robmesure The constant moving that renting in London entails is also sort of a barrier to having a big music collection. I lost so much stuff over the years. But also, fuck Joe Rogan. x",
BeardedPrinceB,2022-01-30 20:54:06+00:00,en,1,0,0,0,"Janet has had me in a chokehold damn near my whole life. Ever since I found Design of a Decade and All For You in my dad’s music collection, I’ve been hooked.",
sinistrist,2022-01-30 20:47:11+00:00,en,1,0,0,0,@spontex_twin yesss thank u im trying to expand my music collection a bunch hehe,
KokoliosChris,2022-01-30 20:20:34+00:00,en,0,0,0,0,Piano Music Collection by Chris Kokolios https://t.co/dlTfAsI1Hi https://t.co/P3ZkyFd6SG,https://music.apple.com/gr/album/piano-music-collection/1584056669
Stillicho82,2022-01-30 20:19:34+00:00,en,0,0,0,0,@nypost Doesn't anyone want to swap a Neil Young collection for a Kid Rock music collection?,
LizSimmie,2022-01-30 20:07:26+00:00,en,2,0,1,0,@AdvisorTouch Oh no it’s that they didn’t buy into hype and have an excellent music collection already in real life and on other tech and can easily get Apple podcasts on their iPads cause they all have them - really over 60s are the smart ones in this joke Spotify isn’t good at all,
VistoHLK,2022-01-30 20:06:34+00:00,en,1,0,1,1,"@Tr3fekta thanks for the my hippie. When you drop your music collection def let me know! i had to pull the trigger on the mutant too, price was too good",
DJ_Rhoomba,2022-01-30 19:32:35+00:00,en,1,0,0,0,"@NiklasAstrand @Spotify @Neilyoung @jonimitchell I use streaming services for music and movies.

BUT, if it’s something I absolutely love, and know I will come back to and watch/listen time and time again, or something I want to share with others, I always buy physical. People make fun of my movie/music collection.",
lordofoverstock,2022-01-30 19:17:17+00:00,en,9,0,2,0,"I have a big digital music collection. I got a 1 TB SD card, put it in my phone, put all my music on it, and use Pulsar to play music. I also have a refurbished 500 GB iPod for long car trips.",
