user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
andanteyk,1530677907856556033,2022-05-28 22:30:26+00:00,ja,0,0,0,0,"Sound Archive, 今見たら英語字幕がついていますね ありがたいです",
Mune_Niki,1530642066396438529,2022-05-28 20:08:01+00:00,ja,0,0,0,0,"[Blue Archive]  2022 Sound Archive Concert  https://t.co/BVFRMzoS8P @YouTubeより

めっちゃ良い",https://youtu.be/W5njQTpJMRs
mokotanv,1530625837225373696,2022-05-28 19:03:31+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/OmCoKYcU85 @YouTubeより,https://youtu.be/W5njQTpJMRs
nanashi8071,1530616416457502720,2022-05-28 18:26:05+00:00,en,1,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/OJfpW3e2KN @YouTubeより,https://youtu.be/W5njQTpJMRs
INAHO_,1530609079986851840,2022-05-28 17:56:56+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/oKhsIDpCKS @YouTubeより,https://youtu.be/W5njQTpJMRs
Irisgermanica0,1530583865429217280,2022-05-28 16:16:45+00:00,ja,0,1,0,0,"グローバル版で昨日やってたブルアカミニライブが曲リスト付きで上がってるからみんな見て聞いてみて

[Blue Archive]  2022 Sound Archive Concert  - YouTube
https://t.co/qMKO6ED0C4",https://m.youtube.com/watch?v=W5njQTpJMRs&feature=youtu.be
hitokami_P,1530581354794332160,2022-05-28 16:06:46+00:00,en,1,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/MdYBxJyKWt @YouTubeより,https://youtu.be/W5njQTpJMRs
iwaokeinfinity,1530571412305768449,2022-05-28 15:27:15+00:00,ja,0,0,0,0,"とても良い
[Blue Archive]  2022 Sound Archive Concert  https://t.co/vXxIUBNPXd @YouTubeより",https://youtu.be/W5njQTpJMRs
Chick_B,1530570542922596353,2022-05-28 15:23:48+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/ZmKG2TVkL2 via @YouTube,https://youtu.be/W5njQTpJMRs
pedoish,1530548157917982722,2022-05-28 13:54:51+00:00,ja,0,0,0,0,"[Blue Archive]  2022 Sound Archive Concert  https://t.co/1yDNYF79JE @YouTubeより 
音楽バチバチにいいんだけどオタクフェイス人間が500人くらいいて複雑な感情",https://youtu.be/W5njQTpJMRs
emirio531,1530540839424135168,2022-05-28 13:25:46+00:00,ja,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/nukxdQkEbb @YouTubeより karimonoを感じる。。。,https://youtu.be/W5njQTpJMRs
dknshewi_dak,1530538880784510976,2022-05-28 13:17:59+00:00,ja,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/lkOsHhQIEh @YouTubeより 折角なので、ブルアカ知らない先生もここのピアノだけでも聞いていってくれ,https://youtu.be/W5njQTpJMRs
Arcadia4965,1530531160274505729,2022-05-28 12:47:19+00:00,ja,1,0,0,0,"SAKURA PUNCHのhard arrangeから通常ver.に移行する所が気持ち良すぎる

[Blue Archive]  2022 Sound Archive Concert  https://t.co/nkLtOW2y8Z @YouTubeより",https://youtu.be/W5njQTpJMRs
koriev_,1530529422205685762,2022-05-28 12:40:24+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/nl81qvEBuz @YouTubeより,https://youtu.be/W5njQTpJMRs
torayaro,1530528673606283264,2022-05-28 12:37:26+00:00,ja,0,0,0,0,Sound Archive Concert、日本のホールでやってほしい…チケット買うので…,
FNO57,1530519434711867392,2022-05-28 12:00:43+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/1bvnlrYJ4K @YouTubeより,https://youtu.be/W5njQTpJMRs
dknshewi_dak,1530517972422303745,2022-05-28 11:54:54+00:00,ja,0,0,1,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/lkOsHhQIEh @YouTubeより 聞くか～,https://youtu.be/W5njQTpJMRs
subhinowaguma,1530516915495776256,2022-05-28 11:50:42+00:00,ja,0,0,0,0,"[Blue Archive]  2022 Sound Archive Concert  https://t.co/2sy7gUvM4y @YouTubeより 
最初のバンドアレンジ最高すぎる～～",https://youtu.be/W5njQTpJMRs
Esoteria_dren,1530511254976360449,2022-05-28 11:28:13+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/VjPNTRx9cC @YouTubeより,https://youtu.be/W5njQTpJMRs
starry_xiv,1530509971426684928,2022-05-28 11:23:07+00:00,ja,1,0,1,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/atB7dHi9xO @YouTubeより 英語版ブルーアーカイブがハーフアニバーサリーでコンサートやったらしい　BGMが良いゲームなので生演奏は最高だからブルアカ知らない人も聞いて,https://youtu.be/W5njQTpJMRs
camostera,1530504391928578050,2022-05-28 11:00:57+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/E8CbqFbQew @YouTubeより,https://youtu.be/W5njQTpJMRs
ayukiyo,1530491861869404160,2022-05-28 10:11:09+00:00,en,1,0,0,0,[Blue Archive]  2022 Sound Archive Concert  - YouTube https://t.co/DHgkVDWNna,https://www.youtube.com/watch?v=W5njQTpJMRs
96_BNCNN,1530477980820320256,2022-05-28 09:16:00+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/nACi1JxJm3 @YouTubeより,https://youtu.be/W5njQTpJMRs
kanieda,1530470351456464896,2022-05-28 08:45:41+00:00,ja,0,0,0,0,"[Blue Archive]  2022 Sound Archive Concert  https://t.co/zQJgQVRGif @YouTubeより 
無料でこんなの聞けていいのアロナちゃん！？",https://youtu.be/W5njQTpJMRs
CUE48000,1530469523035262977,2022-05-28 08:42:23+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/PDCt5ZWSYa @YouTubeより,https://youtu.be/W5njQTpJMRs
shanespenceriri,1530468683801190400,2022-05-28 08:39:03+00:00,ja,0,0,0,0,"Hifumi Daisukiがある

[Blue Archive]  2022 Sound Archive Concert  https://t.co/DGpxuoloUL",https://youtu.be/W5njQTpJMRs
khori_dokei,1530465109268889600,2022-05-28 08:24:51+00:00,ja,0,0,0,0,"バンドアレンジで生まれ変わったBGM群のグルーヴィーなアンサンブルに唸り、ミツキヨ氏のエモーショナルなピアノ独奏には泣かされ、DJセットでブチ上がった
こんなん無料で見れちゃってええんか.....アロナ.....？#ブルアカ
[Blue Archive]  2022 Sound Archive Concert  https://t.co/GKrf6eV3bq",https://youtu.be/W5njQTpJMRs
peni_shiri_n,1530464228976783361,2022-05-28 08:21:21+00:00,ja,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/CAgi4tOOuN @YouTubeより ぺにしりん・本日の家事BGM,https://youtu.be/W5njQTpJMRs
notaji13,1530462571987292161,2022-05-28 08:14:46+00:00,ja,0,0,0,0,"昨日公開されたSound Archive Concert、プレミア公開時は日本語字幕出せなかったけど、今見たら日本語字幕だせるようになってる！
mitsukiyoさんの曲へのコメント聞けて(読めて)うれしい。
OST vol.2には作曲者のライナーノーツつけてほしいなー
#ブルアカ",
kamadoum8,1530459559206088705,2022-05-28 08:02:48+00:00,ja,0,0,0,0,"Sound Archiveとてもよかったです
日本アロナもちゃんと告知ツイートして",
joy0fusan,1530428590298263553,2022-05-28 05:59:44+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/LFXLc7yqmd @YouTubeより,https://youtu.be/W5njQTpJMRs
JazzTanMono,1530428269618548736,2022-05-28 05:58:28+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/L7Hq30aBhC @YouTubeより,https://youtu.be/W5njQTpJMRs
ECC12_8,1530428242829529088,2022-05-28 05:58:21+00:00,ja,2,0,0,1,"[Blue Archive]  2022 Sound Archive Concert  https://t.co/N8WltzpMxP @YouTubeより 
良すぎた…",https://youtu.be/W5njQTpJMRs
heartslink,1530427531009986562,2022-05-28 05:55:32+00:00,ja,0,0,0,0,Sound Archive昨日途中から気づいてだったので今再生しとるが半端なく良い…constant moderatoとluminous memoryのピアノソロほんとすこ,
Tamvaline,1530425334549872640,2022-05-28 05:46:48+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/DU2sRZN5GO @YouTubeより,https://youtu.be/W5njQTpJMRs
AFGiroux,1530406340396720129,2022-05-28 04:31:19+00:00,fr,1,0,0,0,"Excellente exposition au National Film &amp; Sound Archive: Australians and Hollywood. Un véritable hommage à l'immense talent de l'industrie cinématographique australienne et à ses artisans. « Prennant la pose » avec l'un des siens, Eric Bana ! https://t.co/lcpyp0AUyf",
maidenforte,1530405065861005313,2022-05-28 04:26:15+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/Qlu72iCYdi @YouTubeより,https://youtu.be/W5njQTpJMRs
AFGiroux,1530404291705393153,2022-05-28 04:23:11+00:00,en,2,0,0,0,"Great exhibit at the National Film &amp; Sound Archive: Australians and Hollywood. A real tribute to the immense talent of the Australian film industry and its craft. ‘Striking a pose’ with one of its own, Eric Bana! https://t.co/Ai5d3xuwwZ",
nan_nora,1530403985248899072,2022-05-28 04:21:58+00:00,ja,0,0,0,0,"海外公式こんなことやってんだなー。めちゃいいやん
[Blue Archive]  2022 Sound Archive Concert  https://t.co/jDmgAP2Ytp @YouTubeより",https://youtu.be/W5njQTpJMRs
buchislime0,1530401601835646976,2022-05-28 04:12:30+00:00,en,0,0,0,0,[Blue Archive]  2022 Sound Archive Concert  https://t.co/fZooEY0eZ0 @YouTubeより,https://youtu.be/W5njQTpJMRs
yuta_n,1530385573168713728,2022-05-28 03:08:48+00:00,ja,0,0,0,0,Sound Archive、使い方のよくわからない音楽機材をよくわからない操作することで綺麗な音が出てくるところが見られるところがとてもいい,
